date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:34:46	5230/5230	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2004%20Oct%202022%2021:34:44%20GMT	https://marisolmirandelaanes.quest/robots.txt		(from )
18:34:47	8468/8468	---MCZ	200	added ('OK')	text/html	date:Tue,%2004%20Oct%202022%2002:10:22%20GMT	https://marisolmirandelaanes.quest/	C:/Meus%20Sites/galgoo/marisolmirandelaanes.quest/index.html	(from )
18:34:47	140936/140936	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:06%20GMT	https://stackpath.bootstrapcdn.com/bootstrap/4.1.3/css/bootstrap.min.css	C:/Meus%20Sites/galgoo/stackpath.bootstrapcdn.com/bootstrap/4.1.3/css/bootstrap.min.css	(from https://marisolmirandelaanes.quest/)
18:34:47	4369/4369	---MCZ	200	added ('OK')	text/css	etag:W/%22633b960e-1664%22	https://marisolmirandelaanes.quest/assets/css/com.css	C:/Meus%20Sites/galgoo/marisolmirandelaanes.quest/assets/css/com.css	(from https://marisolmirandelaanes.quest/)
18:34:48	103059/103059	---M-Z	200	added ('OK')	application/x-javascript	date:Tue,%2004%20Oct%202022%2021:34:46%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/Meus%20Sites/galgoo/connect.facebook.net/en_US/fbevents.js	(from https://marisolmirandelaanes.quest/)
18:34:49	89476/89476	---M--	200	added ('OK')	text/javascript	date:Fri,%2008%20May%202020%2007:05:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.5.1/jquery.min.js	C:/Meus%20Sites/galgoo/ajax.googleapis.com/ajax/libs/jquery/3.5.1/jquery.min.js	(from https://marisolmirandelaanes.quest/)
18:34:50	20292/20292	---M--	200	added ('OK')	image/webp	etag:%22633b960e-4f44%22	https://marisolmirandelaanes.quest/assets/img/branca.webp	C:/Meus%20Sites/galgoo/marisolmirandelaanes.quest/assets/img/branca.webp	(from https://marisolmirandelaanes.quest/)
18:34:50	1156/1156	---M--	200	added ('OK')	image/jpeg	etag:%220550b71d3c83a851a4941545f8fe743d%22	https://images.converteai.net/60ab1fa6-578e-480b-87e8-9a54de116ac5/players/6339de5f7285e40009a2864d/thumbnail.jpg	C:/Meus%20Sites/galgoo/images.converteai.net/60ab1fa6-578e-480b-87e8-9a54de116ac5/players/6339de5f7285e40009a2864d/thumbnail.jpg	(from https://marisolmirandelaanes.quest/)
18:34:51	2888/2888	---MCZ	200	added ('OK')	application/javascript	etag:W/%2251f48f3dfa7a1e1fc5a42fdce0537048%22	https://scripts.converteai.net/60ab1fa6-578e-480b-87e8-9a54de116ac5/players/6339de5f7285e40009a2864d/player.js	C:/Meus%20Sites/galgoo/scripts.converteai.net/60ab1fa6-578e-480b-87e8-9a54de116ac5/players/6339de5f7285e40009a2864d/player.js	(from https://marisolmirandelaanes.quest/)
18:34:51	5933/5933	---MCZ	200	added ('OK')	text/html	date:Tue,%2004%20Oct%202022%2002:10:22%20GMT	https://marisolmirandelaanes.quest/termos.html	C:/Meus%20Sites/galgoo/marisolmirandelaanes.quest/termos.html	(from https://marisolmirandelaanes.quest/)
